Position,Batsman,Type,Team,Matches,Innings,Not_out,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Images
1,Sai Sudharsan,Top Order,GT,15,15,1,759,108,54.21,486,156.17,1,6,0,88,21,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390600/390648.2.png"
2,Suryakumar Yadav,Top Order,MI,16,16,5,717,73,65.18,427,167.91,0,5,0,69,38,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331163.1.png"
3,Virat Kohli,Top Order,RCB,15,15,3,657,73,54.75,454,144.71,0,8,0,66,19,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.3.png"
4,Shubman Gill,Top Order,GT,15,15,2,650,93,50,417,155.87,0,6,0,62,24,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/398500/398534.2.png"
5,Mitchell Marsh,Top Order,LSG,13,13,0,627,117,48.23,383,163.7,1,6,2,56,37,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385700/385798.1.png"
6,Shreyas Iyer,Middle Order,PBKS,17,17,5,604,97,50.33,345,175.07,0,6,1,43,39,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323000/323035.1.png"
7,Yashasvi Jaiswal,Top Order,RR,14,14,1,559,75,43,350,159.71,0,6,0,60,28,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340309.1.png"
8,Prabhsimran Singh,Top Order,PBKS,17,17,0,549,91,32.29,342,160.52,0,4,1,56,30,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358040.1.png"
9,KL Rahul,Top Order,DC,13,13,3,539,112,53.9,360,149.72,1,3,0,52,21,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.3.png"
10,Jos Buttler,Top Order,GT,14,13,4,538,97,59.77,330,163.03,0,5,1,52,24,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383143.1.png"
