Position,Bowler,Team,Type,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best_bowling_figure,Economy_rate,Four_wicket_haul,Five_wicket_hall,Strike Rate,Bowling_Average,Fastest_Delivery,Image
1,Prasidh Krishna,GT,Seam,15,15,354,59,0,488,25,4--41,8.27,1,0,14.16,19.52,150.6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389549.5.png"
2,Noor Ahmad,CSK,Spin,14,14,300,50,0,408,24,4--18,8.16,2,0,12.5,17,95.6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383239.1.png"
3,Josh Hazlewood,RCB,Seam,12,12,264,44,0,386,22,4--33,8.77,1,0,12,17.54545455,143.9,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390976.5.png"
4,Trent Boult,MI,Seam,16,16,346,57.4,0,517,22,4--26,8.96,1,0,15.72727273,23.5,146.2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png"
5,Arshdeep Singh,PBKS,Seam,17,16,350,58.2,1,518,21,3--16,8.88,0,0,16.66666667,24.66666667,144.3,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390798.5.png"
6,Sai Kishore,GT,Spin,15,15,255,42.3,0,393,19,3--30,9.24,0,0,13.42105263,20.68421053,94,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/362500/362558.6.png"
7,Jasprit Bumrah,MI,Seam,12,12,284,47.2,0,316,18,4--22,6.67,1,0,15.77777778,17.55555556,147.1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.2.png"
8,Varun Chakravarthy,KKR,Spin,13,13,300,50,0,383,17,3--22,7.66,0,0,17.64705882,22.52941176,113,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331167.1.png"
9,Krunal Pandya,RCB,Spin,15,15,276,46,0,379,17,4--45,8.23,1,0,16.23529412,22.29411765,112.5,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322614.1.png"
10,Bhuvneshwar Kumar,RCB,Seam,14,14,312,52,0,483,17,3--33,9.28,0,0,18.35294118,28.41176471,140.7,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392400/392400.2.png"
11,Vaibhav Arora,KKR,Seam,12,12,255,42.3,1,430,17,3--29,10.11,0,0,15,25.29411765,145.7,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389547.5.png"
12,Pat Cummins,SRH,Seam,14,14,298,49.4,0,450,16,3--19,9.06,0,0,18.625,28.125,145.6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390954.5.png"
13,Marco Jansen,PBKS,Seam,14,14,283,47.1,0,434,16,3--17,9.2,0,0,17.6875,27.125,142.8,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/337100/337189.1.png"
14,Mohammed Siraj,GT,Seam,15,15,342,57,0,527,16,4--17,9.24,1,0,21.375,32.9375,149.6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322611.1.png"
15,Yuzvendra Chahal,PBKS,Spin,14,13,270,45,0,430,16,4--28,9.55,2,0,16.875,26.875,106.7,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319955.1.png"
16,Harshal Patel,SRH,Seam,13,13,263,43.5,0,430,16,4--28,9.8,2,0,16.43,26.875,143.2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381372.1.png"
17,Kuldeep Yadav,DC,Spin,14,13,306,51,0,361,15,3--22,7.07,0,0,20.4,24.06666667,104.3,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319943.2.png"
18,Khaleel Ahmed,CSK,Seam,14,14,280,46.4,0,447,15,3--29,9.57,0,0,18.66,29.8,141.4,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322268.1.png"
19,Harshit Rana,KKR,Seam,13,13,264,44,0,448,15,3--25,10.18,0,0,17.6,29.86666667,145.5,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358042.3.png"
